epoch,train_loss,train_acc,val_loss,val_acc
1,10.03454776816972,0.6026070763500931,0.5961342210200296,0.7970149253731343
2,0.3413054123937085,0.8890130353817505,0.3111796062384079,0.9164179104477612
3,0.1985341068752651,0.9404096834264432,0.30954803637604217,0.9014925373134328
4,0.11500290338109548,0.9616387337057728,0.34430443591146326,0.9134328358208955
5,0.08021495642497775,0.9754189944134078,0.3005582273896061,0.9223880597014925
6,0.05201677705267066,0.986219739292365,0.32557951452127143,0.9223880597014925
7,0.0422598839992418,0.9877094972067039,0.2657993400274818,0.9253731343283582
8,0.011992936852965609,0.9973929236499068,0.30031815527090383,0.9343283582089552
9,0.01951288215198608,0.9925512104283054,0.4457775902392259,0.9194029850746268
10,0.019449774605079833,0.9959031657355679,0.29281485845793537,0.9462686567164179
11,0.03996345848811953,0.9888268156424581,0.3001000242446786,0.9432835820895522
12,0.039103376208344955,0.9880819366852887,0.44678946230282535,0.9313432835820895
13,0.06650923749473592,0.982122905027933,0.31543698346436916,0.9283582089552239
14,0.03732290928160123,0.9865921787709497,0.3408467399540232,0.9253731343283582
15,0.01528356699164596,0.9951582867783985,0.2740043129493941,0.9552238805970149
16,0.006582701159261767,0.9977653631284916,0.2901878313342137,0.9432835820895522
17,0.002534232649817114,0.9996275605214152,0.3326266822530263,0.9462686567164179
18,0.000351537410945942,1.0,0.34484436138352353,0.9492537313432836
19,0.00023744669115822068,1.0,0.34744475919808915,0.9492537313432836
20,0.00018983461490435112,1.0,0.3552515440912389,0.9492537313432836
21,0.00015835519396076482,1.0,0.3560306358693251,0.9492537313432836
22,0.00013552925322253388,1.0,0.36077931692351156,0.9492537313432836
23,0.00011966531048962427,1.0,0.36441297477750634,0.9492537313432836
24,0.00010686860916471834,1.0,0.36759111507615044,0.9492537313432836
25,9.604231175859034e-05,1.0,0.3704150009511122,0.9492537313432836
