epoch,train_loss,train_acc,val_loss,val_acc
1,13.722942511934832,0.491566265060241,0.6116900772817673,0.8193548387096774
2,0.2927785535533744,0.9244979919678715,0.40579365674526463,0.9096774193548387
3,0.15580194191520952,0.963855421686747,0.27137366677484204,0.9354838709677419
4,0.0834683642539394,0.9775100401606426,0.2988559256878591,0.9354838709677419
5,0.04746673348917061,0.9919678714859438,0.23293121815208465,0.9354838709677419
6,0.023717429285427652,0.9959839357429718,0.2964918430954699,0.9225806451612903
7,0.01890980527104144,0.9943775100401606,0.3991409818491628,0.9290322580645162
8,0.007402479969690662,0.9991967871485944,0.4025061162248735,0.9354838709677419
9,0.005351555926059503,0.9975903614457832,0.3381779899400088,0.9354838709677419
10,0.004259035801776801,0.9991967871485944,0.3702705094951295,0.9419354838709677
11,0.012998699209088064,0.9967871485943776,0.47527931642628485,0.9290322580645162
12,0.04327425205272185,0.9927710843373494,0.37000105421569557,0.9354838709677419
13,0.02666414178754521,0.993574297188755,0.43408827179021414,0.9354838709677419
14,0.026876364402981648,0.993574297188755,0.4456428729298134,0.9290322580645162
15,0.026589874860954033,0.993574297188755,0.4151964041494554,0.9161290322580645
16,0.005263965802798309,0.9991967871485944,0.43984155149739834,0.9290322580645162
17,0.0006731335645734171,1.0,0.5052955065838872,0.9225806451612903
18,0.0002721805744720286,1.0,0.5144527817775886,0.9225806451612903
19,0.00017601571404178773,1.0,0.5287451704013942,0.9225806451612903
20,0.0001463332848252175,1.0,0.5317615289868216,0.9225806451612903
21,0.000127016244512042,1.0,0.5394230523248082,0.9225806451612903
22,0.00011297703774862859,1.0,0.5444182878423993,0.9225806451612903
23,0.00010070416081208646,1.0,0.5493087199054688,0.9225806451612903
24,9.109489164765396e-05,1.0,0.5559075041666567,0.9225806451612903
25,8.282132343207692e-05,1.0,0.558748564644972,0.9225806451612903
