epoch,train_loss,train_acc,val_loss,val_acc
1,1.5513741844125606,0.8272595564471191,0.14117635726716027,0.9536128456735058
2,0.08253180694217388,0.972807310821353,0.10649179603927748,0.9669937555753791
3,0.04851770121541929,0.9846205282514209,0.09186982923356798,0.9785905441570026
4,0.03341700824654934,0.9888554552546528,0.08587317097596459,0.975914362176628
5,0.040408030333385414,0.9878524462275716,0.10181444736129465,0.9732381801962533
6,0.026537618135604395,0.9919759277833501,0.11044674110334046,0.9750223015165032
7,0.018497887731919096,0.9942048367324194,0.09937253433172105,0.975914362176628
8,0.03658472740857989,0.9879638916750251,0.07936300277933445,0.975914362176628
9,0.034665839505872376,0.9886325643597459,0.15174883559726704,0.9687778768956289
10,0.02826778324879428,0.9905271369664549,0.1287039302004523,0.9652096342551294
11,0.021627666045548003,0.9930903822578848,0.11738130382092272,0.9776984834968778
12,0.0073855266542461545,0.9976596456034771,0.08715975383648866,0.9794826048171276
13,0.015833724583533708,0.9950964003120473,0.09852197144338803,0.9803746654772525
14,0.025066228274110525,0.9910843642037223,0.09938819626517374,0.9794826048171276
15,0.007169042807590224,0.9977710910509305,0.09277193146997882,0.9821587867975022
16,0.0022858862118477477,0.9992198818678257,0.10287396022881455,0.983942908117752
17,0.01649806412627784,0.9947620639696868,0.10141934417083799,0.983942908117752
18,0.09824613850484928,0.9815000557227237,0.23265714590351075,0.9643175735950045
19,0.03409142393873381,0.9907500278613619,0.1226018918545237,0.9750223015165032
20,0.006388677468951112,0.9983283182881979,0.0868183472825702,0.9821587867975022
21,0.0011832849477092444,0.9996656636576395,0.07378553397843222,0.9857270294380018
22,0.00014755433383031402,1.0,0.07951587803846831,0.9848349687778769
23,4.642163671901265e-05,1.0,0.08128368404207782,0.9884032114183765
24,3.200103123896626e-05,1.0,0.08377893589370661,0.9875111507582516
25,2.5127665804707088e-05,1.0,0.0852786115658633,0.9866190900981266
